sample,epoch_seconds,rss_kb,cpu_percent,cpu_time
396,1786303090.997564,260896,0.0,1:02.80
397,1786303091.131163,260896,0.0,1:02.80
398,1786303091.266600,260896,0.0,1:02.80
399,1786303091.397435,260896,0.0,1:02.80
400,1786303091.526377,260896,0.0,1:02.80
401,1786303091.665785,260896,0.0,1:02.80
402,1786303091.803495,260896,0.0,1:02.80
403,1786303091.952388,260896,0.0,1:02.80
404,1786303092.097837,260896,0.0,1:02.80
405,1786303092.234860,260896,0.0,1:02.80
406,1786303092.382892,260896,0.0,1:02.80
407,1786303092.519147,260896,0.0,1:02.80
408,1786303092.663555,260896,0.0,1:02.80
409,1786303092.806519,260896,0.0,1:02.80
410,1786303092.949089,260896,0.0,1:02.80
411,1786303093.088654,260896,0.0,1:02.80
412,1786303093.226040,260896,0.0,1:02.80
413,1786303093.361263,260896,0.0,1:02.80
414,1786303093.495650,260896,0.0,1:02.80
415,1786303093.628783,260864,0.0,1:02.80
416,1786303093.765664,260864,0.0,1:02.80
417,1786303093.897727,260864,0.0,1:02.80
418,1786303094.039228,260880,0.0,1:02.80
419,1786303094.185353,260880,0.0,1:02.80
420,1786303094.325582,260880,0.0,1:02.80
421,1786303094.464319,260880,0.0,1:02.80
422,1786303094.604700,260880,0.0,1:02.80
423,1786303094.740355,260880,0.0,1:02.80
424,1786303094.882859,260880,0.0,1:02.80
425,1786303095.012719,260864,0.1,1:02.81
426,1786303095.145838,260864,0.0,1:02.81
427,1786303095.288929,260864,0.0,1:02.81
428,1786303095.427887,260864,0.0,1:02.81
429,1786303095.566412,260864,0.0,1:02.81
430,1786303095.701651,260864,0.0,1:02.81
431,1786303095.843061,260864,0.0,1:02.81
432,1786303095.985504,260864,0.1,1:02.81
433,1786303096.128456,260864,0.0,1:02.81
434,1786303096.265582,260864,0.0,1:02.81
435,1786303096.395644,260864,0.0,1:02.81
436,1786303096.531004,260864,0.0,1:02.81
437,1786303096.664854,260864,0.0,1:02.81
438,1786303096.802025,260864,0.0,1:02.81
439,1786303096.943209,260864,0.0,1:02.81
440,1786303097.082911,260864,0.0,1:02.81
441,1786303097.228964,260864,0.0,1:02.81
442,1786303097.363158,260864,0.0,1:02.81
443,1786303097.499603,260864,0.0,1:02.81
444,1786303097.640949,260864,0.0,1:02.81
445,1786303097.777780,260864,0.0,1:02.81
446,1786303097.916043,260864,0.0,1:02.81
447,1786303098.048297,260864,0.0,1:02.81
448,1786303098.181718,260864,0.0,1:02.81
449,1786303098.326004,260864,0.0,1:02.81
450,1786303098.464450,260864,0.0,1:02.81
451,1786303098.606053,260864,0.0,1:02.81
452,1786303098.746986,260864,0.0,1:02.81
453,1786303098.878569,260864,0.0,1:02.81
454,1786303099.014202,260864,0.0,1:02.81
455,1786303099.150572,260864,0.0,1:02.81
456,1786303099.291285,260864,0.0,1:02.81
457,1786303099.426789,260864,0.0,1:02.81
458,1786303099.575143,260848,0.0,1:02.81
459,1786303099.719807,260848,0.0,1:02.81
460,1786303099.860565,260848,0.0,1:02.81
461,1786303100.003595,260848,0.0,1:02.81
462,1786303100.149857,260848,0.0,1:02.81
463,1786303100.302038,260848,0.0,1:02.81
464,1786303100.442053,260848,0.0,1:02.81
465,1786303100.589090,260848,0.0,1:02.81
466,1786303100.726919,260848,0.0,1:02.81
467,1786303100.872472,260848,0.0,1:02.81
468,1786303101.014952,260848,0.0,1:02.81
469,1786303101.150763,260848,0.0,1:02.81
470,1786303101.284259,260848,0.0,1:02.81
471,1786303101.412261,260848,0.0,1:02.81
472,1786303101.548993,260848,0.0,1:02.81
473,1786303101.684732,260848,0.0,1:02.81
474,1786303101.823236,260848,0.0,1:02.81
475,1786303101.963714,260848,0.0,1:02.81
476,1786303102.097641,260848,0.0,1:02.81
477,1786303102.232635,260848,0.0,1:02.81
478,1786303102.366390,260848,0.0,1:02.81
479,1786303102.500364,260848,0.0,1:02.81
480,1786303102.642974,260848,0.0,1:02.81
481,1786303102.786874,260848,0.0,1:02.81
482,1786303102.922071,260848,0.0,1:02.81
483,1786303103.061204,260848,0.0,1:02.81
484,1786303103.193678,260848,0.0,1:02.81
